Joint_id,Time,Linear Displacement (mm),Velocity (mm/sec),Acceleration (mm/sec**2),Angular Displacement1 (deg),Angular Velocity1 (deg/sec),Angular Acceleration1 (deg/sec**2),Motor Torque - MAGNITUDE (newton-mm),Motor Torque - X - (newton-mm),Motor Torque - Y - (newton-mm),Motor Torque - Z - (newton-mm)
1,0,1495.946312,-165.466205,28.93098252,106.2198889,-1.596078191,54.03494493,93.40627185,0,3.63E-14,-93.40627185
1,0.04,1489.945112,-164.5441362,23.65728417,103.9280569,0.345508284,55.11713542,128.4819701,0,5.01E-14,-128.4819701
1,0.08,1483.917206,-163.6921836,15.14573063,101.6362249,2.816251979,56.17063923,130.9015503,0,5.11E-14,-130.9015503
1,0.12,1477.872237,-163.2296267,7.961057289,99.34439289,5.080522539,57.01291859,44.82938015,0,1.75E-14,-44.82938015
1,0.16,1471.819876,-163.0576603,0.619561687,97.05256089,7.375483908,57.7056149,49.68827304,0,1.94E-14,-49.68827304
1,0.2,1465.769805,-163.1820148,-6.851556257,94.76072889,9.695250909,58.25388547,26.58029771,0,1.03E-14,-26.58029771
1,0.24,1459.731704,-163.6073231,-14.42464845,92.46889689,12.03418968,58.66514544,115.4983773,0,4.47E-14,-115.4983773
1,0.28,1453.715232,-164.3371067,-22.07181455,90.17706489,14.3870073,58.94894034,451.0521492,0,1.74E-13,-451.0521492
1,0.32,1447.730014,-165.3737647,-29.76479386,87.88523289,16.74882189,59.11614313,920.4511194,0,3.52E-13,-920.4511194
1,0.36,1441.785625,-166.7185462,-37.47416271,85.59340089,19.11519544,59.17792828,913.2712309,0,3.46E-13,-913.2712309
1,0.4,1435.891574,-168.3714722,-45.16768399,83.30156889,21.48212405,59.14466923,451.1852773,0,1.69E-13,-451.1852773
1,0.44,1430.057292,-170.3311732,-52.8076652,81.00973689,23.84598167,59.02469818,795.27204,0,-2.94E-13,795.27204
1,0.48,1424.292111,-172.5945967,-60.3470399,78.71790489,26.20340837,58.82275054,2121.650707,0,-7.72E-13,2121.650707
1,0.52,1418.605256,-175.1565237,-67.7236855,76.42607289,28.55112589,58.53784332,2764.635201,0,-9.89E-13,2764.635201
1,0.56,1413.005823,-178.0088098,-74.85221216,74.13424089,30.88565126,58.16026685,1331.193478,0,-4.68E-13,1331.193478
1,0.6,1407.50277,-181.1392294,-81.61216165,71.84240889,33.20286571,57.66730422,722.3508505,0,2.49E-13,-722.3508505
1,0.64,1402.104901,-184.5297524,-87.83125066,69.55057689,35.49737923,57.01725123,2255.370961,0,7.59E-13,-2255.370961
1,0.68,1396.820852,-188.1540245,-93.26213739,67.25874489,37.76161462,56.14134637,1820.832642,0,5.98E-13,-1820.832642
1,0.72,1391.659076,-191.973766,-97.55144625,64.96691289,39.98452309,54.93344233,657.8133136,0,2.10E-13,-657.8133136
1,0.76,1386.627831,-195.9337727,-100.2009955,62.67508089,42.14984717,53.23784513,214.7310939,0,-6.66E-14,214.7310939
1,0.8,1381.735165,-199.9552555,-100.5242703,60.38324889,44.23388719,50.83703757,569.9454214,0,-1.71E-13,569.9454214
1,0.84,1376.988906,-203.9274974,-97.60761023,58.09141689,46.20284245,47.44349013,355.346654,0,-1.03E-13,355.346654
